metNames	comps	formula	charge	inchi	metNotes	kegg.compound	chebi	pubchem.compound	metanetx.chemical	seed.compound	bigg.metabolite	biocyc	envipath	lipidmaps	reactome	sabiork.compound	slm
FAD	n	C27H30N9O15P2	-3		based on kegg	C00016	CHEBI:57692	46906035	MNXM33	cpd00015	fad	FAD					
FAD	p	C27H30N9O15P2	-3		based on kegg	C00016	CHEBI:57692	46906035	MNXM33	cpd00015	fad	FAD					
FADH2	p	C27H33N9O15P2	-2		based on kegg	C01352	CHEBI:58307	46931118	MNXM38	cpd00982	fadh2	FADH2					
FMN	n	C17H18N4O9P	-3		based on kegg	C00061	CHEBI:58210	44229199	MNXM119	cpd00050	fmn	FMN			73524		
"P1,P3-Bis(5'-adenosyl) triphosphate"	m	C20H24N10O16P3	-3		based on kegg	C06197	CHEBI:27775	25201180	MNXM3683	cpd03705		ADENOSINE5TRIPHOSPHO5ADENOSINE					
"P1,P3-Bis(5'-adenosyl) triphosphate"	n	C20H24N10O16P3	-3		based on kegg	C06197	CHEBI:27775	25201180	MNXM3683	cpd03705		ADENOSINE5TRIPHOSPHO5ADENOSINE					
"2,5-Dioxopentanoate"	c	C5H5O4	-1		based on kegg	C00433	CHEBI:17415	523	MNXM770								
Formamidopyrimidine nucleoside triphosphate	c	C10H15N5O15P3	-3		based on kegg	C05922		135398719	MNXM1103590								
Formamidopyrimidine nucleoside triphosphate	n	C10H15N5O15P3	-3		based on kegg	C05922		135398719	MNXM1103590								
S-Ureidoglycolate	c	C3H5N2O4	-1		based on kegg	C00603	CHEBI:15412	23615273	MNXM490		urdglyc	CPD-1091					
Acetyl adenylate	c	C12H15N5O8P	-1		based on kegg	C05993	CHEBI:37666	440867	MNXM1103443								
Acetyl adenylate	n	C12H15N5O8P	-1		based on kegg	C05993	CHEBI:37666	440867	MNXM1103443								
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	c	C10H14N3O11P2	-2		based on kegg	C11038 	CHEBI:835	21145194	MNXM56896			CPD0-1345					
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	m	C10H14N3O11P2	-2		based on kegg	C11038 	CHEBI:835	21145194	MNXM56896			CPD0-1345					
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	c	C10H14N3O14P3	-3		based on kegg	C11039	CHEBI:836	90659324	MNXM56897	cpd07924		DEOXY-OH-METHYLCYTIDINE-TRIPHOSPHATE					
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	m	C10H14N3O14P3	-3		based on kegg	C11039	CHEBI:836	90659324	MNXM56897	cpd07924		DEOXY-OH-METHYLCYTIDINE-TRIPHOSPHATE					
L-glutamic 5-semialdehyde	m	C5H9NO3	0		based on kegg	C01165	CHEBI:17232	49791979	MNXM245	cpd00858	glu5sa	L-GLUTAMATE_GAMMA-SEMIALDEHYDE			31339		
L-glutamic 5-semialdehyde	n	C5H9NO3	0		based on kegg	C01165	CHEBI:17232	49791979	MNXM245	cpd00858	glu5sa	L-GLUTAMATE_GAMMA-SEMIALDEHYDE			31339		
GTP	n	C10H12N5O14P3	-4		based on kegg	C00044	CHEBI:57600	135398632	MNXM51	cpd00038	gtp	GTP					
"3',5'-cyclic GMP"	m	C10H11N5O7P	-1		based on kegg	C00942	CHEBI:57746	135398569	MNXM665	cpd00697		CGMP					
"3',5'-cyclic GMP"	n	C10H11N5O7P	-1		based on kegg	C00942	CHEBI:57746	135398569	MNXM665	cpd00697		CGMP					
CMP	n	C9H12N3O8P	-2		based on kegg	C00055	CHEBI:60377	7058165	MNXM31	cpd00046	cmp	CMP					
cytidine	n	C9H13N3O5	0		based on kegg	C00475	CHEBI:17562	6175	MNXM338	cpd00367	cytd	CYTIDINE					
propanoyl-CoA	p	C24H40N7O17P3S	-4		based on kegg	C00100	CHEBI:15539	45266613	MNXM86		ppcoa	PROPIONYL-COA					
propanoyl-CoA	m	C24H40N7O17P3S	-4		based on kegg	C00100	CHEBI:15539	45266613	MNXM86		ppcoa	PROPIONYL-COA					
2-Methylacetoacetyl-CoA	p	C26H42N7O18P3S	-4		based on kegg	C03344	CHEBI:15476	193425	MNXM1104585								
2-Methylacetoacetyl-CoA	m	C26H42N7O18P3S	-4		based on kegg	C03344	CHEBI:15476	193425	MNXM1104585								
D-ribose 5-phosphate	c	C5H9O8P	-2		based on kegg	C00117	CHEBI:17797	439167	MNXM1104056			RIBOSE-5P					
